A̱o,Mes,Estacion,TMaxPromedio,TMinPromedio,TMaxRegistrada,TMinRegistrada,TMaxDesviacion,TMinDesviacion
2013,1,Carrasco,27.8,17.4,33.8,10.2,3.4,3.0
2013,2,Carrasco,26.2,17.5,34.6,9.9,3.8,3.2
2013,3,Carrasco,23.2,13.6,30.2,8.0,3.4,3.4
2013,4,Carrasco,22.3,12.7,26.4,7.0,2.9,3.2
2013,5,Carrasco,18.2,9.4,23.6,2.2,2.9,3.0
2013,6,Carrasco,15.9,5.8,23.2,-1.6,3.5,3.4
2013,7,Carrasco,15.1,6.0,22.3,0.4,4.1,3.7
2013,8,Carrasco,15.8,6.3,25.6,0.1,5.4,3.3
2013,9,Carrasco,17.4,9.7,32.1,3.3,5.9,4.2
2013,10,Carrasco,20.5,11.2,27.0,3.0,3.8,3.3
2013,11,Carrasco,23.4,14.8,33.0,10.0,4.1,2.2
2013,12,Carrasco,29.6,18.0,39.8,9.8,5.2,3.6
2014,1,Carrasco,28.0,18.8,36.0,12.2,4.3,2.7
2014,2,Carrasco,25.8,18.4,35.5,14.2,3.6,2.0
2014,3,Carrasco,24.1,14.7,28.6,7.5,2.8,3.0
2014,4,Carrasco,21.5,13.1,28.2,6.2,2.9,4.3
2014,5,Carrasco,17.6,9.6,22.3,1.3,2.4,4.0
2014,6,Carrasco,15.8,6.6,25.2,1.0,3.0,3.3
2014,7,Carrasco,15.9,7.8,22.0,0.0,3.6,3.3
2014,8,Carrasco,18.7,7.9,30.0,1.6,4.9,3.9
2014,9,Carrasco,19.7,10.2,25.0,5.0,2.7,2.7
2014,10,Carrasco,23.1,13.9,33.1,9.0,4.5,2.5
2014,11,Carrasco,24.3,13.4,32.1,8.2,4.4,2.6
2014,12,Carrasco,26.6,16.9,33.7,10.2,4.0,2.9
2015,1,Carrasco,27.2,18.4,35.2,12.4,3.5,2.9
2015,2,Carrasco,27.2,18.6,32.4,12.2,2.7,2.0
2015,3,Carrasco,26.5,17.2,31.8,10.0,3.6,2.7
2015,4,Carrasco,24.6,13.7,32.2,9.0,3.4,2.9
2015,5,Carrasco,21.0,11.5,28.0,4.1,4.0,4.0
2015,6,Carrasco,18.2,7.5,25.8,-1.8,4.3,4.6
2015,7,Carrasco,16.9,6.5,26.0,0.4,3.4,4.3
2015,8,Carrasco,19.0,10.8,31.6,6.2,4.3,2.7
2015,9,Carrasco,17.3,8.1,26.4,1.5,3.5,3.2
2015,10,Carrasco,18.5,11.1,24.8,4.4,3.1,3.0
2015,11,Carrasco,22.9,13.6,29.4,8.0,3.0,3.0
2015,12,Carrasco,26.8,16.7,35.0,9.5,4.2,3.1
2016,1,Carrasco,28.3,18.8,37.2,13.3,3.7,2.3
2016,2,Carrasco,28.8,19.6,37.8,14.0,3.1,2.3
2016,3,Carrasco,24.0,16.2,32.6,11.1,3.4,2.5
2016,4,Carrasco,19.8,15.0,24.0,5.2,3.3,3.8
2016,5,Carrasco,14.6,9.0,19.0,3.4,1.7,3.1
2016,6,Carrasco,13.6,6.0,21.8,-0.8,2.5,3.2
2016,7,Carrasco,14.3,7.4,22.2,1.3,3.0,3.0
2016,8,Carrasco,17.0,7.8,27.1,3.1,4.2,2.4
2016,9,Carrasco,16.5,9.3,25.6,1.5,4.5,2.4
2016,10,Carrasco,19.6,12.2,27.6,4.6,4.1,3.1
2016,11,Carrasco,24.1,13.7,31.2,8.1,4.1,2.8
2016,12,Carrasco,27.8,16.9,33.4,9.0,3.7,3.1
2017,1,Carrasco,28.1,18.8,33.4,14.0,3.5,2.3
2017,2,Carrasco,28.2,20.2,33.7,12.8,3.1,2.5
2017,3,Carrasco,25.4,16.8,34.4,11.4,3.2,3.2
2017,4,Carrasco,23.0,13.9,27.8,7.9,3.1,3.2
2017,5,Carrasco,19.4,11.5,27.9,5.2,4.1,3.2
2017,6,Carrasco,18.1,8.5,26.9,0.4,4.6,4.8
2017,7,Carrasco,17.2,9.6,25.5,0.1,4.3,4.0
2017,8,Carrasco,18.2,9.1,24.0,2.7,2.9,3.3
2017,9,Carrasco,19.0,11.4,27.8,6.8,3.4,2.8
2017,10,Carrasco,21.0,11.9,28.6,4.4,3.4,3.0
2017,11,Carrasco,23.3,12.7,33.0,7.5,3.8,2.6
2017,12,Carrasco,27.0,16.5,35.0,9.0,4.5,3.0
2018,1,Carrasco,28.2,18.2,36.3,12.3,3.0,2.5
2018,2,Carrasco,26.9,17.4,36.0,9.8,3.6,2.9
2018,3,Carrasco,25.9,15.1,33.4,9.6,3.2,3.2
2018,4,Carrasco,25.0,17.7,33.2,10.0,3.5,2.6
2018,5,Carrasco,19.4,12.2,27.2,5.2,3.3,4.2
2018,6,Carrasco,14.2,6.5,20.0,-0.2,2.6,3.4
2018,7,Carrasco,13.4,8.1,21.0,1.8,2.7,2.8
2018,8,Carrasco,16.2,7.6,25.0,-0.4,4.4,2.9
2018,9,Carrasco,19.6,11.9,29.1,4.2,3.4,2.7
2018,10,Carrasco,20.2,11.8,28.6,4.8,4.1,3.0
2018,11,Carrasco,24.0,15.3,33.5,8.4,4.7,2.9
2018,12,Carrasco,25.0,16.1,31.7,8.2,4.0,3.3
2019,1,Carrasco,27.2,19.1,35.1,12.4,3.7,2.9
2019,2,Carrasco,26.8,17.0,34.4,10.6,4.7,3.6
2019,3,Carrasco,23.7,16.3,32.8,9.8,3.4,2.8
2019,4,Carrasco,22.2,13.6,29.6,8.1,3.3,2.8
2019,5,Carrasco,19.0,11.3,24.4,5.7,2.8,3.1
2019,6,Carrasco,17.8,10.1,23.0,2.2,2.5,3.9
2019,7,Carrasco,14.4,6.9,26.8,-0.6,4.1,3.3
2019,8,Carrasco,15.0,7.4,26.0,1.2,4.6,3.1
2019,9,Carrasco,17.2,7.9,27.2,2.8,5.1,3.0
2019,10,Carrasco,18.9,11.9,29.0,3.6,4.6,3.4
2019,11,Carrasco,24.9,15.6,33.6,11.2,3.7,2.1
2019,12,Carrasco,26.3,16.4,34.9,10.4,4.6,3.5
2013,1,Melilla,29.1,18.6,36.0,11.8,3.8,2.5
2013,2,Melilla,27.1,17.8,34.0,12.6,4.0,2.5
2013,3,Melilla,23.3,16.0,30.0,9.6,3.5,3.3
2013,4,Melilla,23.1,13.3,28.4,5.3,2.9,2.8
2013,5,Melilla,18.5,9.1,24.0,2.5,3.1,3.0
2013,6,Melilla,16.1,6.7,23.4,-0.8,3.4,3.6
2013,7,Melilla,15.4,5.3,23.4,-0.3,4.4,3.5
2013,8,Melilla,15.4,7.0,25.8,1.2,5.3,3.5
2013,9,Melilla,17.4,8.0,31.2,1.6,5.9,3.1
2013,10,Melilla,21.3,11.6,27.2,6.4,3.9,2.8
2013,11,Melilla,23.4,14.5,31.4,9.0,3.9,3.1
2013,12,Melilla,30.3,15.9,38.0,8.8,4.9,3.4
2014,1,Melilla,28.1,19.4,36.0,12.8,4.4,2.9
2014,2,Melilla,25.6,19.1,34.6,15.0,3.8,1.9
2014,3,Melilla,24.1,15.7,29.6,7.8,2.9,2.8
2014,4,Melilla,21.6,13.8,28.0,7.0,3.0,3.9
2014,5,Melilla,17.3,10.9,22.0,1.6,2.5,3.9
2014,6,Melilla,15.5,7.8,23.2,1.0,2.6,3.4
2014,7,Melilla,15.6,8.8,22.2,0.0,3.5,3.7
2014,8,Melilla,18.1,9.2,29.8,1.8,5.3,4.2
2014,9,Melilla,19.4,10.8,24.0,6.0,2.2,2.6
2014,10,Melilla,22.7,14.7,32.2,6.4,4.6,3.2
2014,11,Melilla,23.9,14.6,31.5,10.2,4.5,2.6
2014,12,Melilla,26.4,17.3,33.3,11.4,4.0,2.7
2015,1,Melilla,26.8,18.6,34.3,12.0,3.5,3.0
2015,2,Melilla,27.6,18.7,33.4,14.6,3.1,1.7
2015,3,Melilla,26.3,17.2,31.4,11.0,4.2,2.4
2015,4,Melilla,24.2,14.3,30.0,8.9,3.1,2.8
2015,5,Melilla,20.4,12.1,27.1,3.6,4.0,4.2
2015,6,Melilla,17.0,8.0,25.6,-1.0,3.9,5.2
2015,7,Melilla,16.2,7.6,26.0,0.1,3.7,4.1
2015,8,Melilla,17.9,11.5,31.0,6.2,4.4,3.3
2015,9,Melilla,16.8,8.9,25.2,3.6,3.5,3.1
2015,10,Melilla,18.0,11.9,26.2,4.0,3.6,2.8
2015,11,Melilla,23.1,14.8,28.5,8.4,3.1,2.8
2015,12,Melilla,26.7,18.4,33.8,11.0,3.8,2.8
2016,1,Melilla,28.5,19.8,37.8,15.0,3.4,2.3
2016,2,Melilla,28.9,20.0,37.3,15.4,3.2,2.1
2016,3,Melilla,23.3,16.8,32.0,13.0,3.6,1.9
2016,4,Melilla,19.3,15.2,24.2,5.2,3.5,3.8
2016,5,Melilla,14.4,9.5,20.1,3.6,2.0,2.8
2016,6,Melilla,13.0,6.6,20.0,0.6,2.5,3.3
2016,7,Melilla,13.6,8.0,21.2,2.1,3.2,3.2
2016,8,Melilla,16.5,8.4,26.2,3.6,4.1,2.6
2016,9,Melilla,16.4,9.8,25.2,6.4,4.7,2.2
2016,10,Melilla,20.2,12.7,28.0,6.0,4.2,2.7
2016,11,Melilla,23.7,15.0,31.2,9.2,4.6,2.9
2016,12,Melilla,27.7,18.3,33.8,11.4,3.8,2.7
2017,1,Melilla,28.9,18.7,35.4,12.5,3.1,2.4
2017,2,Melilla,28.6,19.9,33.6,12.0,3.2,2.6
2017,3,Melilla,25.9,16.2,35.0,10.8,3.2,2.8
2017,4,Melilla,22.9,13.6,28.6,7.0,3.2,3.8
2017,5,Melilla,19.2,10.8,27.8,4.6,4.1,3.0
2017,6,Melilla,17.9,7.9,26.6,-0.4,4.6,4.7
2017,7,Melilla,17.0,8.6,25.0,-1.5,4.2,4.3
2017,8,Melilla,18.6,8.7,24.0,2.8,2.9,3.2
2017,9,Melilla,19.4,11.2,28.2,6.5,3.6,2.8
2017,10,Melilla,21.3,11.7,28.1,4.2,3.4,2.9
2017,11,Melilla,24.0,12.6,33.6,8.0,3.6,2.6
2017,12,Melilla,27.8,17.0,35.4,9.8,4.6,3.1
2018,1,Melilla,29.2,18.5,35.9,12.8,3.2,2.8
2018,2,Melilla,28.2,17.7,36.1,11.3,3.8,3.0
2018,3,Melilla,26.4,15.3,33.0,10.2,3.7,2.9
2018,4,Melilla,25.4,17.5,33.2,11.0,3.5,2.5
2018,5,Melilla,19.5,12.1,27.3,5.2,3.5,3.7
2018,6,Melilla,14.5,6.2,20.0,-0.8,2.7,3.3
2018,7,Melilla,13.5,7.4,21.0,2.6,2.7,2.6
2018,8,Melilla,16.2,7.1,27.2,0.3,4.4,2.8
2018,9,Melilla,20.7,11.6,29.2,3.2,3.2,3.0
2018,10,Melilla,21.0,11.4,29.1,5.0,4.0,3.3
2018,11,Melilla,25.1,14.9,33.2,9.2,4.3,3.2
2018,12,Melilla,25.5,15.9,32.0,7.7,4.3,3.4
2019,1,Melilla,27.8,19.1,35.5,13.0,4.0,2.9
2019,2,Melilla,27.1,16.9,34.4,8.9,4.6,3.8
2019,3,Melilla,24.5,15.6,33.1,8.5,3.5,3.0
2019,4,Melilla,22.6,13.0,30.8,8.0,3.6,2.7
2019,5,Melilla,19.4,9.7,24.7,4.9,2.8,2.9
2019,6,Melilla,17.8,9.0,23.3,2.4,2.4,3.6
2019,7,Melilla,14.9,6.0,26.8,-0.5,4.1,3.1
2019,8,Melilla,15.7,6.6,26.2,0.6,4.4,2.9
2019,9,Melilla,18.1,7.1,27.8,1.3,4.8,2.9
2019,10,Melilla,19.8,11.6,29.3,4.8,4.3,3.4
2019,11,Melilla,26.2,15.4,34.6,11.2,3.8,2.5
2019,12,Melilla,28.0,16.0,36.1,11.0,4.6,3.6
2013,1,Prado,28.0,18.8,34.4,11.9,3.6,2.7
2013,2,Prado,26.7,18.1,33.5,11.9,3.8,3.1
2013,3,Prado,23.2,14.7,30.4,10.0,3.5,3.3
2013,4,Prado,22.5,13.9,26.7,7.7,3.0,3.1
2013,5,Prado,18.1,10.8,24.6,4.3,3.3,2.9
2013,6,Prado,16.0,7.4,23.8,0.1,3.6,3.4
2013,7,Prado,14.8,7.2,23.2,2.0,4.6,3.6
2013,8,Prado,15.5,6.8,25.9,0.6,5.6,3.5
2013,9,Prado,17.5,10.3,31.9,5.2,5.8,4.3
2013,10,Prado,21.0,12.0,27.6,5.5,4.0,3.0
2013,11,Prado,23.6,15.5,32.8,9.6,4.3,2.4
2013,12,Prado,30.0,19.3,38.1,12.0,5.0,3.7
2014,1,Prado,28.1,20.1,36.6,13.5,4.6,2.9
2014,2,Prado,26.0,19.2,35.4,14.0,3.7,1.9
2014,3,Prado,24.3,15.9,30.2,8.3,3.0,2.7
2014,4,Prado,21.8,13.4,29.0,6.4,3.1,4.3
2014,5,Prado,17.8,11.1,22.8,2.5,2.7,3.5
2014,6,Prado,15.9,7.8,24.1,3.0,2.8,3.3
2014,7,Prado,16.0,8.7,23.2,0.2,3.7,3.6
2014,8,Prado,18.6,9.5,29.8,4.3,5.3,4.2
2014,9,Prado,19.6,11.6,24.3,5.6,2.5,2.8
2014,10,Prado,23.1,14.9,33.0,8.5,4.6,2.9
2014,11,Prado,24.3,15.0,32.9,9.5,4.6,2.8
2014,12,Prado,26.5,18.0,33.6,11.5,4.2,2.8
2015,1,Prado,26.9,18.7,34.4,13.6,3.4,3.0
2015,2,Prado,27.5,19.3,32.6,12.3,3.0,2.1
2015,3,Prado,26.2,17.4,32.0,10.3,4.2,2.5
2015,4,Prado,24.4,14.8,30.4,9.1,3.1,3.0
2015,5,Prado,20.9,12.0,28.0,5.7,4.1,3.9
2015,6,Prado,17.4,8.6,25.6,0.8,4.0,4.5
2015,7,Prado,16.6,7.3,24.9,1.0,3.6,4.3
2015,8,Prado,18.2,11.7,31.3,6.0,4.4,3.5
2015,9,Prado,16.8,9.0,25.4,3.5,3.5,2.9
2015,10,Prado,18.0,11.7,25.6,4.5,3.5,3.0
2015,11,Prado,22.9,14.3,28.8,7.8,3.0,3.2
2015,12,Prado,26.8,17.8,34.6,11.0,3.9,3.0
2016,1,Prado,28.2,19.5,36.5,15.0,3.3,2.2
2016,2,Prado,29.0,19.6,37.1,15.6,3.1,2.2
2016,3,Prado,23.4,16.8,32.4,11.0,3.5,2.2
2016,4,Prado,19.7,15.2,24.0,6.8,3.4,3.5
2016,5,Prado,14.7,9.3,19.9,2.9,1.9,3.0
2016,6,Prado,13.4,6.4,20.3,0.9,2.4,2.7
2016,7,Prado,14.0,7.9,21.4,2.0,3.1,3.2
2016,8,Prado,16.6,8.7,26.2,3.9,4.3,2.4
2016,9,Prado,16.7,9.6,25.9,4.1,4.9,2.0
2016,10,Prado,20.1,12.8,28.1,6.2,4.1,2.9
2016,11,Prado,23.6,14.7,31.7,9.3,4.7,2.7
2016,12,Prado,27.3,17.9,33.2,10.6,3.9,3.0
2017,1,Prado,28.9,19.1,35.1,14.4,3.4,2.3
2017,2,Prado,28.7,20.7,33.9,14.3,3.3,2.3
2017,3,Prado,25.5,17.4,34.5,11.1,3.0,3.1
2017,4,Prado,22.8,14.8,28.2,9.5,3.1,3.0
2017,5,Prado,19.1,12.0,27.9,6.2,4.0,3.1
2017,6,Prado,18.0,9.3,27.1,0.9,4.5,4.8
2017,7,Prado,17.2,9.3,26.3,1.4,4.5,3.7
2017,8,Prado,18.2,10.5,24.2,3.5,3.4,3.8
2017,9,Prado,19.1,11.5,28.4,6.6,3.7,2.8
2017,10,Prado,21.3,12.7,28.0,5.9,3.7,2.9
2017,11,Prado,23.2,14.0,33.3,9.4,3.8,2.5
2017,12,Prado,27.3,17.6,34.7,10.0,4.7,3.1
2018,1,Prado,28.7,19.1,36.5,13.7,3.5,2.6
2018,2,Prado,27.6,18.1,36.0,12.0,3.9,3.3
2018,3,Prado,25.7,15.5,32.3,9.9,3.7,3.4
2018,4,Prado,25.2,18.0,33.7,9.0,3.6,2.5
2018,5,Prado,19.5,12.8,27.3,6.2,3.6,3.7
2018,6,Prado,14.6,7.1,20.8,1.3,2.9,2.8
2018,7,Prado,13.6,8.3,21.4,3.3,2.6,2.4
2018,8,Prado,16.2,7.8,25.8,0.5,4.6,2.8
2018,9,Prado,20.4,12.2,29.4,5.4,3.3,2.5
2018,10,Prado,20.7,12.4,29.0,4.8,4.1,3.0
2018,11,Prado,24.7,15.8,33.4,9.0,4.5,2.8
2018,12,Prado,25.0,16.6,32.2,9.7,4.4,3.1
2019,1,Prado,27.9,19.7,35.6,14.0,3.8,3.0
2019,2,Prado,27.2,17.9,34.4,11.5,4.7,3.7
2019,3,Prado,24.1,16.8,33.2,10.4,3.4,2.6
2019,4,Prado,22.6,13.8,30.1,7.7,3.4,2.7
2019,5,Prado,19.3,11.5,25.1,6.4,2.8,2.8
2019,6,Prado,17.9,10.7,23.0,4.6,2.5,3.4
2019,7,Prado,15.0,7.3,26.6,0.5,4.2,3.1
2019,8,Prado,15.8,8.2,26.3,2.5,4.6,3.0
2019,9,Prado,17.7,8.8,27.6,3.8,4.9,2.9
2019,10,Prado,19.7,12.4,29.0,6.6,4.7,3.3
2019,11,Prado,25.7,16.3,34.2,11.6,3.7,2.3
2019,12,Prado,27.4,17.1,35.0,12.2,4.7,3.0
